Mechant_id  negative    normal  positive  
10001	118	792	11
10002	0	30	0
10003	0	110	0
10004	0	35	0
10005	0	26	0
10006	95	43	2
10007	0	495	0
10008	0	265	0
10009	0	109	0
10010	0	10	0
10011	0	46	0
10012	13	415	1
10013	0	57	0
10014	31	236	0
10015	0	24	0
10100	0	26	0
10101	0	18	0
10102	5	66	2
10103	0	140	0
10104	0	32	0
10105	0	32	0
10106	0	90	0
10107	4	94	0
10108	0	12	0
10109	0	16	0
10110	2	62	1
10111	11	77	3
10112	13	87	19
10113	0	96	0
10114	5	748	0
10115	0	14	0
10200	0	7	0
10201	0	21	0
10202	0	166	0
10203	0	60	1
10204	0	8	0
10205	0	19	0
10206	0	34	0
10207	0	107	0
10208	0	14	0
10209	0	57	0
10210	13	9	2
10211	29	31	1
10212	6	51	0
10213	0	26	0
10214	0	78	0
10215	0	38	0
10300	0	73	0
10301	0	27	0
10302	0	66	0
10303	0	8	0
10304	3	30	1
10305	0	21	0
10306	0	154	0
10307	0	48	0
10308	0	48	0
10309	0	40	0
10310	0	21	0
10311	0	49	0
10312	0	199	0
10313	0	85	0
10314	0	48	0
10315	0	103	1
10400	0	50	0
10401	4	89	20
10402	0	22	0
10403	0	114	0
10404	14	113	1
10405	0	10	0
10406	11	18	0
10407	10	198	1
10408	0	73	0
10409	0	35	0
10410	0	44	0
10411	0	72	0
10412	0	55	0
10413	2	8	0
10414	21	228	6
10415	0	68	0
10500	26	12	0
10501	0	76	0
10502	0	40	0
10503	0	147	11
10504	20	58	1
10505	0	48	0
10506	0	43	0
10507	0	14	0
10508	26	199	0
10509	0	12	0
10510	0	82	0
10511	1	404	1
10512	0	41	0
10513	0	40	0
10514	0	50	0
10515	2	166	13
10600	0	23	0
10601	1	78	1
10602	0	96	0
10603	0	33	0
10604	0	18	0
10605	1	20	1
10606	0	23	0
10607	0	49	0
10608	0	23	0
10609	0	48	0
10610	0	14	0
10611	0	124	0
10612	0	26	0
10613	0	90	0
10614	0	55	0
10615	0	41	0
10700	0	46	0
10701	0	59	0
10702	0	72	0
10703	0	23	0
10704	16	248	4
10705	0	116	0
10706	0	55	0
10707	0	20	0
10708	1	176	4
10709	170	452	47
10710	0	18	0
10711	0	121	0
10712	0	28	0
10713	0	213	0
10714	13	208	3
10715	0	43	0
10800	18	71	6
10801	0	29	0
10802	1	212	0
10803	0	28	0
10804	0	78	0
10805	0	16	0
10806	0	29	0
10807	3	109	2
10808	3	69	3
10809	0	24	0
10810	0	11	0
10811	0	37	0
10812	0	232	0
10813	0	378	0
10814	0	37	0
10815	0	99	0
10900	0	162	0
10901	0	74	0
10902	0	934	0
10903	5	35	0
10904	0	46	0
10905	0	182	0
10906	0	24	0
10907	0	207	1
10908	0	48	0
10909	0	53	0
10910	0	153	0
10911	9	226	7
10912	0	39	0
10913	7	103	2
10914	0	35	0
10915	2	93	0
11000	0	44	0
11001	0	16	0
11002	2	76	3
11003	0	21	0
11004	0	24	0
11005	0	30	0
11006	0	25	0
11007	0	111	0
11008	0	4	0
11009	0	73	2
11010	0	40	0
11011	0	98	0
11012	0	33	0
11013	0	118	0
11014	0	10	0
11015	0	11	0
11100	2	25	1
11101	0	24	0
11102	0	50	0
11103	110	363	39
11104	0	64	0
11105	46	360	1
11106	25	36	1
11107	2	31	1
11108	0	28	0
11109	15	47	0
11110	4	17	0
11111	0	62	1
11112	0	223	13
11113	0	47	0
11114	0	55	0
11115	0	20	0
11200	0	82	0
11201	5	90	1
11202	0	7	0
11203	0	41	0
11204	48	26	0
11205	0	26	0
11206	0	14	0
11207	1	48	0
11208	0	39	0
11209	0	25	0
11210	0	25	0
11211	0	19	3
11212	0	50	0
11213	25	11	2
11214	0	19	0
11215	0	96	0
11300	1	22	0
11301	0	45	0
11302	28	189	6
11303	0	23	0
11304	0	58	0
11305	1	111	5
11306	0	85	0
11307	3	28	0
11308	1	128	0
11309	0	23	0
11310	0	47	0
11311	0	78	0
11312	0	34	0
11313	0	48	0
11314	0	123	0
11315	0	3	0
11400	1	10	0
11401	0	34	0
11402	0	118	4
11403	0	12	0
11404	0	46	0
11405	0	144	1
11406	0	22	0
11407	0	4	0
11408	0	16	0
11409	0	20	0
11410	0	12	0
11411	0	18	0
11412	0	136	0
11413	0	75	0
11414	0	11	0
11415	0	203	2
11500	9	106	0
11501	0	32	0
11502	0	15	0
11503	0	28	0
11504	5	157	0
11505	0	40	1
11506	4	75	0
11507	0	113	2
11508	0	133	0
11509	0	30	0
11510	0	95	0
11511	0	27	0
11512	0	122	0
11513	0	23	0
11514	0	118	0
11515	0	53	0
11600	0	102	0
11601	0	35	0
11602	0	133	0
11603	0	7	0
11604	1	43	0
11605	0	5	0
11606	0	178	0
11607	0	32	0
11608	0	29	0
11609	0	77	0
11610	0	50	0
11611	7	33	0
11612	0	106	0
11613	0	45	0
11614	0	51	0
11615	0	25	0
11700	1	11	0
11701	0	23	0
11702	24	74	2
11703	1	47	0
11704	0	86	0
11705	0	14	0
11706	0	24	1
11707	0	25	0
11708	0	22	0
11709	0	18	0
11710	0	15	0
11711	0	51	0
11712	68	1913	32
11713	6	38	3
11714	0	16	0
11715	0	9	0
11800	0	60	0
11801	0	15	0
11802	0	151	0
11803	3	16	2
11804	0	42	0
11805	0	55	0
11806	5	87	20
11807	20	44	0
11808	0	11	0
11809	1	29	0
11810	0	7	0
11811	0	8	0
11812	0	28	0
11813	10	63	2
11814	0	48	0
11815	0	46	0
11900	0	14	0
11901	0	65	0
11902	0	27	0
11903	7	159	2
11904	0	593	0
11905	0	18	0
11906	0	69	0
11907	0	18	0
11908	0	45	0
11909	0	77	0
11910	0	30	0
11911	0	69	0
11912	0	134	0
11913	3	266	0
11914	0	53	1
11915	1	70	15
12000	8	24	0
12001	19	70	0
12002	2	47	1
12003	0	291	2
12004	0	38	0
12005	0	83	0
12006	0	32	0
12007	0	19	0
12008	117	65	1
12009	0	30	0
12010	21	650	44
12011	48	110	9
12012	0	80	0
12013	3	191	0
12014	7	109	0
12015	0	36	0
12100	0	18	0
12101	0	19	0
12102	3	42	1
12103	0	17	0
12104	0	7	0
12105	0	95	0
12106	0	29	0
12107	0	23	0
12108	0	44	0
12109	0	7	0
12110	0	111	0
12111	0	64	0
12112	0	11	0
12113	1	16	0
12114	0	57	1
12115	0	16	0
12200	0	23	0
12201	0	28	0
12202	0	103	0
12203	0	47	0
12204	0	39	0
12205	0	102	0
12206	24	16	0
12207	0	41	0
12208	0	16	2
12209	1	20	0
12210	0	36	0
12211	0	39	0
12212	3	445	2
12213	9	56	0
12214	0	105	0
12215	0	121	0
12300	0	31	0
12301	0	78	0
12302	0	40	0
12303	0	27	0
12304	0	38	0
12305	1	27	0
12306	0	71	0
12307	0	99	1
12308	0	16	0
12309	0	71	0
12310	26	67	2
12311	1	40	0
12312	13	49	2
12313	0	26	0
12314	0	99	0
12315	0	27	0
12400	0	237	0
12401	0	18	0
12402	0	20	0
12403	0	98	0
12404	0	37	0
12405	0	63	0
12406	0	46	0
12407	0	29	0
12408	0	15	0
12409	0	20	0
12410	0	16	0
12411	8	334	14
12412	0	65	0
12413	0	112	0
12414	1	12	0
12415	2	49	1
12500	0	71	2
12501	21	39	7
12502	0	14	0
12503	191	944	124
12504	0	19	0
12505	0	42	0
12506	0	31	0
12507	0	46	0
12508	0	15	0
12509	0	19	0
12510	9	790	4
12511	0	56	0
12512	0	35	21
12513	0	18	0
12514	2	233	0
12515	0	72	0
12600	1	82	0
12601	2	36	0
12602	0	52	0
12603	0	14	0
12604	3	61	1
12605	3	92	1
12606	0	43	0
12607	6	28	3
12608	0	50	0
12609	0	25	0
12610	0	29	0
12611	0	115	0
12612	0	8	0
12613	0	76	0
12614	0	18	0
12615	0	46	0
12700	0	70	0
12701	0	43	0
12702	0	17	0
12703	0	54	0
12704	0	129	0
12705	0	16	0
12706	13	81	0
12707	0	45	0
12708	0	10	0
12709	1	371	2
12710	0	16	0
12711	0	50	1
12712	0	20	0
12713	0	35	0
12714	0	36	0
12715	5	30	1
12800	0	80	0
12801	1	145	0
12802	0	242	0
12803	5	18	1
12804	0	66	0
12805	0	16	0
12806	0	56	0
12807	0	33	0
12808	0	32	0
12809	0	27	0
12810	0	12	0
12811	8	471	3
12812	1	374	1
12813	11	60	3
12814	0	14	0
12815	0	144	0
12900	0	203	0
12901	0	27	0
12902	0	36	0
12903	0	47	0
12904	0	26	0
12905	0	44	0
12906	0	72	0
12907	0	57	0
12908	5	52	3
12909	0	38	0
12910	0	59	0
12911	0	10	0
12912	0	115	0
12913	0	14	0
12914	0	170	0
12915	0	374	0
13000	0	6	0
13001	0	24	0
13002	0	2	0
13003	0	695	18
13004	0	41	0
13005	5	151	1
13006	10	211	3
13007	0	41	0
13008	0	29	1
13009	0	55	0
13010	0	20	0
13011	0	21	0
13012	0	74	0
13013	0	23	0
13014	0	76	0
13015	0	29	0
13100	0	67	0
13101	0	80	0
13102	0	26	0
13103	0	57	0
13104	0	68	0
13105	26	436	26
13106	0	73	0
13107	0	68	1
13108	0	146	0
13109	0	7	0
13110	0	19	0
13111	0	27	0
13112	0	66	0
13113	0	72	0
13114	0	142	0
13115	0	29	0
13200	110	1968	81
13201	0	237	0
13202	0	10	0
13203	0	110	0
13204	0	33	0
13205	0	41	0
13206	0	51	0
13207	0	52	0
13208	35	104	0
13209	3	28	0
13210	0	194	0
13211	0	50	0
13212	0	12	0
13213	0	110	0
13214	0	94	0
13215	25	276	28
13300	0	66	0
